pais_orig,pais_iso,pais_nombre,bandera
Alemania (GER),GER,Alemania,🇩🇪
Argelia,,Argelia,🇩🇿
Argentina (ARG),ARG,Argentina,🇦🇷
Armenia (ARM),ARM,Armenia,🇦🇲
Australia (AUS),AUS,Australia,🇦🇺
Austria (AUT),AUT,Austria,🇦🇹
Azerbaiyán (AZE),AZE,Azerbaiyán,🇦🇿
Brasil (BRA),BRA,Brasil,🇧🇷
Bélgica (BEL),BEL,Bélgica,🇧🇪
Canadá (CAN),CAN,Canadá,🇨🇦
Cabo Verde,,Cabo Verde,🇨🇻
Chile,,Chile,🇨🇱
China (CHN),CHN,China,🇨🇳
Corea del Norte (PRK),PRK,Corea del Norte,🇰🇵
Corea del Sur (KOR),KOR,Corea del Sur,🇰🇷
Croacia (CRO),CRO,Croacia,🇭🇷
Cuba (CUB),CUB,Cuba,🇨🇺
Dinamarca (DEN),DEN,Dinamarca,🇩🇰
Dominica,,Dominica,🇩🇲
Ecuador (ECU),ECU,Ecuador,🇪🇨
Egipto (EGY),EGY,Egipto,🇪🇬
Eslovaquia (SVK),SVK,Eslovaquia,🇸🇰
Eslovenia (SLO),SLO,Eslovenia,🇸🇮
España (ESP),ESP,España,🇪🇦
Estados Unidos (USA),USA,Estados Unidos,🇺🇸
Etiopía (ETH),ETH,Etiopía,🇪🇹
Filipinas (PHI),PHI,Filipinas,🇵🇭
Fiyi (FIY),FIY,Fiyi,🇫🇯
Francia (FRA),FRA,Francia,🇫🇷
Georgia (GEO),GEO,Georgia,🇬🇪
Grecia (GRE),GRE,Grecia,🇬🇷
Guatemala (GUA),GUA,Guatemala,🇬🇹
Hong Kong (HKG),HKG,Hong Kong,🇭🇰
Hungría (HUN),HUN,Hungría,🇭🇺
India (IND),IND,India,🇮🇳
Indonesia (INA),INA,Indonesia,🇮🇩
Irlanda (IRL),IRL,Irlanda,🇮🇪
Israel (ISR),ISR,Israel,🇮🇱
Italia (ITA),ITA,Italia,🇮🇹
Japón (JPN),JPN,Japón,🇯🇵
Jamaica (JAM),JAM,Jamaica,🇯🇲
Kazajistán (KAZ),KAZ,Kazajistán,🇰🇿
Kosovo (KOS),KOS,Kosovo,🇽🇰
Lituania (LTU),LTU,Lituania,🇱🇹
Malasia (MAL),MAL,Malasia,🇲🇾
Moldavia (MDA),MDA,Moldavia,🇲🇩
Mongolia (MGL),MGL,Mongolia,🇲🇳
México (MEX),MEX,México,🇲🇽
Nueva Zelanda (NZL),NZL,Nueva Zelanda,🇼🇸
Países Bajos (NED),NED,Países Bajos,🇳🇱
Polonia (POL),POL,Polonia,🇵🇱
Portugal (POR),POR,Portugal,🇵🇹
Reino Unido (GBR),GBR,Reino Unido,🇬🇧
República Checa (CZE),CZE,República Checa,🇨🇿
República Dominicana (DOM),DOM,República Dominicana,🇩🇴
Rumania (ROU),ROU,Rumania,🇷🇴
Santa Lucía,,Santa Lucía,🇱🇨
Serbia (SRB),SRB,Serbia,🇷🇸
Sudáfrica (RSA),RSA,Sudáfrica,🇿🇦
Suecia (SWE),SWE,Suecia,🇸🇪
Suiza (SUI),SUI,Suiza,🇨🇭
Taiwán,,Taiwán,🇹🇼
Tayikistán (TJK),TJK,Tayikistán,🇹🇯
Turquía (TUR),TUR,Turquía,🇹🇳
Túnez (TUN),TUN,Túnez,🇹🇷
Ucrania (UKR),UKR,Ucrania,🇺🇦
Uzbekistán (UZB),UZB,Uzbekistán,🇺🇿
